Max,Min,Mean,Std,RMS,Skewness,Kurtosis,Crest Factor,Form Factor,Fault
0.398,-0.625,-0.11708544921875,0.0930689481828838,0.1495674048506224,-0.0127531350443135,0.9313759695181508,2.661007593181782,-1.2774209421290823,Normal
0.422,-0.657,-0.1177440917968749,0.0930953372763856,0.1500999326945947,-0.0333074149954416,0.8766670709334519,2.811460287984504,-1.274797999661317,Normal
0.466,-0.605,-0.1166947265624999,0.0914054771312727,0.1482302685014096,0.0220641798149046,0.946745184905332,3.143757376352377,-1.2702396489358043,Normal
0.356,-0.713,-0.117173779296875,0.0943397244977717,0.1504301951189176,-0.0889843952851856,0.8583879376864498,2.3665461559667325,-1.2838213124267603,Normal
0.5,-0.647,-0.117876220703125,0.0930330046755295,0.1501649784468839,-0.0364589688177838,0.9572141067743204,3.3296711734744395,-1.2739208769263073,Normal
0.479,-0.659,-0.116593994140625,0.0934088188288226,0.1493952504905715,-0.0027560691071321,1.2908039218324705,3.20625989398659,-1.2813288676806514,Normal
0.417,-0.623,-0.1177186523437499,0.0926876079598036,0.1498274150376859,-0.0186109820379769,0.8544098489127605,2.7832022590465995,-1.272758497100147,Normal
0.386,-0.73,-0.1187620605468749,0.0937622384924227,0.1513121116333822,-0.0970325668518882,1.227077202846666,2.5510185260995413,-1.274077857327676,Normal
0.371,-0.669,-0.1175521484374999,0.0936216844073661,0.1502767427583606,-0.0364603733493997,1.0642083930020805,2.468778556084051,-1.2783836344621096,Normal
0.427,-0.767,-0.1163319335937499,0.0953140640973724,0.1503909771099774,-0.0525752480147658,1.0609371954258204,2.839266079691369,-1.2927746704113692,Normal
0.361,-0.676,-0.117429150390625,0.092813214299115,0.1496779124995881,-0.0504407482402029,0.9632602716256736,2.411845501927302,-1.2746231408614344,Normal
0.452,-0.593,-0.116137158203125,0.0944990574818843,0.1497246651083143,-0.034142567147174,0.9430419100428497,3.0188746768811443,-1.2892055172078902,Normal
0.378,-0.786,-0.118780908203125,0.0955588873366899,0.1524465782774924,-0.0804296308475837,1.0750248954652903,2.4795571292649266,-1.2834266094076028,Normal
0.54,-0.735,-0.1173285156249999,0.0955523866474147,0.1513135597340007,-0.0713979759449352,1.184782930295068,3.568748240073689,-1.289657155619544,Normal
0.393,-0.62,-0.116383154296875,0.0922073608334832,0.1484817189071078,0.0335895591324776,0.7751648191612599,2.646790479613629,-1.2758007789370829,Normal
0.425,-0.625,-0.117525732421875,0.0939783433663135,0.1504785551387327,-0.0038003591264186,0.8111662080937347,2.824322705704969,-1.2803881502186174,Normal
0.435,-0.752,-0.118559375,0.0953517469799659,0.1521441326813985,-0.0463558380311834,1.0562676927585963,2.859130959134148,-1.2832737409538346,Normal
0.444,-0.635,-0.11655947265625,0.0939530303441585,0.1497092233715077,-0.0417400584948389,1.0413122469857097,2.965749136899877,-1.2844020306528063,Normal
0.498,-0.623,-0.11639453125,0.0937357089551879,0.1494444412336069,-0.0487733126490877,1.0571084253612444,3.33234207903084,-1.2839472750882093,Normal
0.513,-0.679,-0.11697548828125,0.0936444695058524,0.1498403261470147,-0.0051495969363281,0.9140543774001464,3.423644443330121,-1.2809549107138254,Normal
0.388,-0.667,-0.116680712890625,0.0950798049232484,0.150512845466394,-0.0370786203533784,0.8551255790005796,2.577853064950733,-1.2899547983348616,Normal
0.42,-0.72,-0.116920654296875,0.0951039030932747,0.1507141338643605,-0.0293312417667258,0.8893903439128104,2.7867326655507374,-1.2890291691464535,Normal
0.474,-0.649,-0.11750185546875,0.0950837302798355,0.1511527715642769,0.0182593103604069,0.8686910992674073,3.135900156474695,-1.286386252891781,Normal
0.43,-0.635,-0.11554580078125,0.0941570721092074,0.1490501708082508,-0.0021839090375203,0.8602839087705663,2.884934634212421,-1.289966141568666,Normal
0.41,-0.669,-0.116134814453125,0.0941780437256009,0.1495204533393237,-0.0004651783339759,0.9338200331018692,2.74209976523774,-1.2874731323540711,Normal
0.417,-0.679,-0.11741015625,0.094599792766266,0.1507774141351457,-0.0805169678615895,0.8666448199977812,2.76566621328465,-1.2841939654189476,Normal
0.356,-0.649,-0.11765302734375,0.0951632947066361,0.1513203400488513,-0.042279567140316,0.8554446215143323,2.3526249008234523,-1.2861576405232196,Normal
0.557,-0.649,-0.1163564453125,0.0963037006119757,0.1510389759817809,-0.0147600290587371,0.9982367935071044,3.68778983291828,-1.2980714181851605,Normal
0.435,-0.769,-0.117404296875,0.0949533089806,0.1509948991532909,-0.0215844070224316,1.00681191635862,2.880892019791909,-1.2861105016799748,Normal
0.466,-0.686,-0.11740859375,0.0961484212888018,0.1517525795832026,-0.0735103638186603,1.2521116987718497,3.0707879976728982,-1.2925167974188656,Normal
0.532,-0.784,-0.1156861816406249,0.0961830238926356,0.1504460534219305,-0.0553859969030603,1.0926454444272409,3.5361512508938326,-1.3004669294841615,Normal
0.422,-0.642,-0.11900087890625,0.0938807555816237,0.1515730025355975,-0.0771004523214219,0.7948775747069625,2.784136969912512,-1.2737133030337378,Normal
0.425,-0.747,-0.116231298828125,0.0969395774225139,0.1513490589547367,-0.0272622447667329,1.157228232132553,2.8080782459777485,-1.3021368640003028,Normal
0.51,-0.574,-0.117425634765625,0.0970588309126238,0.1523441379802751,-0.0138713211254322,0.9621199908034463,3.347683782004349,-1.2973669530026009,Normal
0.435,-0.627,-0.117836279296875,0.0962125451927021,0.1521242603142966,-0.0115241738115981,0.9010954903743632,2.859504454458924,-1.2909798342413454,Normal
0.488,-0.74,-0.116184033203125,0.0963917393724783,0.1509623903843168,-0.0240519654478358,1.1915623576482677,3.232593222442093,-1.2993385254614864,Normal
0.322,-0.62,-0.116391455078125,0.0940759819540363,0.1496557017047274,-0.0610940426784923,0.7101423237333093,2.151605293564491,-1.2857962949623287,Normal
